generation,GD,IGD,HV,problem
90,101.59621054919891,9.295423418379213,0.0,dtlz1
91,96.47468154611086,9.295423418379213,0.0,dtlz1
92,88.39310137980789,9.295423418379213,0.0,dtlz1
93,91.83525957607931,9.295423418379213,0.0,dtlz1
94,79.7449311888051,9.295423418379213,0.0,dtlz1
95,67.45540331067976,9.295423418379213,0.0,dtlz1
96,67.70849204096604,9.295423418379213,0.0,dtlz1
97,70.92347290971638,9.295423418379213,0.0,dtlz1
98,71.57053468892369,9.295423418379213,0.0,dtlz1
99,67.90272454875851,9.295423418379213,0.0,dtlz1
100,66.91016661234035,9.295423418379213,0.0,dtlz1
1,0.6837551360383008,0.4426798243087576,0.03547110751366514,dtlz2
2,0.5996465290073747,0.4314336096487788,0.03947973982763876,dtlz2
3,0.5376899174521729,0.39616671359192906,0.08368651110808191,dtlz2
4,0.5131752293143694,0.34053795026550376,0.1463639351173287,dtlz2
5,0.49505170432670426,0.31684525189937246,0.17390795328366015,dtlz2
6,0.42662004981044566,0.2945707615833129,0.19907572730894973,dtlz2
7,0.38625605622919623,0.27067100336782485,0.25039172540924837,dtlz2
8,0.35537355459666786,0.23293254126587334,0.2855452398379827,dtlz2
9,0.31847976587821214,0.22312037934653,0.3028388754869265,dtlz2
10,0.290976208260544,0.20630079301595292,0.3501544921825647,dtlz2
11,0.2566761354114032,0.18188328030362072,0.40655142679485196,dtlz2
12,0.21514025194686578,0.170510796588385,0.4333760682800592,dtlz2
13,0.20646956836727953,0.15280534674901902,0.4773279648360881,dtlz2
14,0.19861444099136005,0.1440025236653524,0.5016115877537335,dtlz2
15,0.17745364752100742,0.13851308169071566,0.5280566596045175,dtlz2
16,0.17560907440029513,0.13422673034080757,0.5371060053743265,dtlz2
17,0.16157319567156223,0.13104192389153613,0.5499390512851894,dtlz2
18,0.1457761386437829,0.11840484779245737,0.5744401996322701,dtlz2
19,0.13805066211004757,0.11457038802355643,0.5877292612314521,dtlz2
20,0.13175676272898104,0.11432041116170123,0.5895188185294524,dtlz2
21,0.11968514721521535,0.10781345191324535,0.6023661167175602,dtlz2
22,0.10746813870792073,0.10548528674183198,0.6110771119426313,dtlz2
23,0.10151558067875527,0.10133058838174769,0.6228611366114954,dtlz2
24,0.10274827919999051,0.10178958627746865,0.613441519787196,dtlz2
25,0.0967505431385781,0.09568104295672468,0.6257415384382099,dtlz2
26,0.08906414061926371,0.09176145274079368,0.6356406779523658,dtlz2
27,0.08812181610929061,0.09124934979168967,0.6403187396929343,dtlz2
28,0.08332352927301484,0.08913878447702937,0.6495416601921167,dtlz2
29,0.07834483197267737,0.08423566917445616,0.6612303890890755,dtlz2
30,0.07627994792995733,0.08291004801207588,0.6636965821575765,dtlz2
31,0.07692279519224178,0.08186648213136369,0.6604942946955378,dtlz2
32,0.0793247491209358,0.07981135763989132,0.6667152842863783,dtlz2
33,0.07626025484503382,0.08040003146293788,0.6645032690280116,dtlz2
34,0.07128378338703219,0.08172667384069984,0.6602202825624439,dtlz2
35,0.07111333873527692,0.08287823325227626,0.6672065781367202,dtlz2
36,0.06915832790306582,0.07712463250707688,0.6801211920242249,dtlz2
37,0.06696235200878865,0.07909880581075356,0.6768026637576336,dtlz2
38,0.06643099008684904,0.07826648112720835,0.6727997101877831,dtlz2
39,0.06789221659242146,0.07956343102137801,0.672851538824062,dtlz2
40,0.0659830796156721,0.08121377700304429,0.6686777989976983,dtlz2
41,0.0647030522716363,0.07910903381803182,0.6643109520350093,dtlz2
42,0.06569311572953251,0.07656720311230275,0.6701273120944119,dtlz2
43,0.06449225791504971,0.0740337601151057,0.6735620797478945,dtlz2
44,0.05833503792493039,0.06961216797037448,0.6872195389292126,dtlz2
45,0.0612445962336847,0.07359204198275393,0.6841405874109594,dtlz2
46,0.06332569970031521,0.07185890830571494,0.6885760731322245,dtlz2
47,0.062409686419376324,0.07321661139621831,0.6845043004654283,dtlz2
48,0.0612755807552407,0.07744673175420538,0.6833495409612107,dtlz2
49,0.06032069016649691,0.07340073944044269,0.6945089973708841,dtlz2
50,0.0567143476141718,0.07241206312618022,0.6969373477333711,dtlz2
51,0.05643221355598002,0.07397618893254515,0.6904283211666308,dtlz2
52,0.057643987166961536,0.07207041597469348,0.6928049964482008,dtlz2
53,0.05797952315978309,0.07681520597484369,0.6936017073555523,dtlz2
54,0.057648942339198,0.07527739921260587,0.6994486088111848,dtlz2
55,0.056727350846590745,0.07673306923503331,0.6942014272874556,dtlz2
56,0.058269395543371294,0.07365569071952671,0.6953978962869972,dtlz2
57,0.05742372716101832,0.07214742467282348,0.6973606615212701,dtlz2
58,0.05833175759883346,0.07464894457024483,0.6906916628972476,dtlz2
59,0.05711965652534319,0.07143943841453518,0.6959652257816615,dtlz2
60,0.059573327690291056,0.07757018562230289,0.6804516612399061,dtlz2
61,0.06027315460524,0.07569828165960613,0.6788999949436603,dtlz2
62,0.0591281748406662,0.07628169361426057,0.6859165206872289,dtlz2
63,0.06028393898756159,0.07220549129063722,0.6986744652153262,dtlz2
64,0.06112549804195488,0.07028837802106438,0.6982371242225409,dtlz2
65,0.06164859725704714,0.07424929916219443,0.6965121047124134,dtlz2
66,0.05889244522772405,0.07371243333608521,0.6963753536465047,dtlz2
67,0.05835740660091362,0.07409106160955642,0.6931490092724992,dtlz2
68,0.059529726817972264,0.07546411644445669,0.6897301542644239,dtlz2
69,0.056509218726889215,0.07545912068305474,0.688236093537963,dtlz2
70,0.05863890509294053,0.06980791038988574,0.7035913468035815,dtlz2
71,0.05975012952869412,0.07221856901723582,0.6997746866204941,dtlz2
72,0.05907563016708963,0.07268082095499027,0.7030120928232683,dtlz2
73,0.058475883321793425,0.07382863772743385,0.702119075885399,dtlz2
74,0.05895308578576532,0.0749297078869443,0.6968836802287515,dtlz2
75,0.060120443961255175,0.07464610788759317,0.6970642625492699,dtlz2
76,0.061773258483069755,0.07493147206174557,0.6946482626693185,dtlz2
77,0.060198245174726266,0.0751515275772576,0.6967687728496683,dtlz2
78,0.05669902174333532,0.07178498039450104,0.6962168153062005,dtlz2
79,0.056096078696825515,0.0706280252191669,0.698059278166899,dtlz2
80,0.05774865327252044,0.07496030961640526,0.6932507493360318,dtlz2
81,0.05898532566165021,0.07554612819667764,0.6922859586955586,dtlz2
82,0.05809894450397791,0.07391591952569439,0.6890580304057734,dtlz2
83,0.0559908145622344,0.07258495869755016,0.6960885537311389,dtlz2
84,0.058811378104632855,0.07554990987893853,0.6936871699096449,dtlz2
85,0.05995357921133244,0.0749916067569998,0.6969229231579321,dtlz2
86,0.05750080412029373,0.07313667483232018,0.7026872782791423,dtlz2
87,0.05951343260789921,0.07410604814782296,0.6962008225449025,dtlz2
88,0.0602793759466955,0.07460483888941842,0.6972792016453007,dtlz2
89,0.05828626707709836,0.07361326094737908,0.6937310826682973,dtlz2
90,0.05717100496987732,0.06847387618547537,0.7018871814048382,dtlz2
91,0.06012343489874089,0.07228772180905997,0.6983221123841977,dtlz2
92,0.0592166905195209,0.07086239796971337,0.699118369067072,dtlz2
93,0.061220060032856446,0.07277948113917092,0.6961434836650164,dtlz2
94,0.060124055799202304,0.07150674570085723,0.6973363003866302,dtlz2
95,0.060167631593856845,0.07126203404731966,0.7015066006612125,dtlz2
96,0.0593074230565682,0.06700727384286928,0.7053884584200458,dtlz2
97,0.05747817688439663,0.07079417795631178,0.6994092170392365,dtlz2
98,0.056887978566079474,0.06835480209785359,0.6972303480383201,dtlz2
99,0.05531835697862457,0.07343786636901661,0.6972666587704985,dtlz2
100,0.05629809779145427,0.07100471271394469,0.6992640635873298,dtlz2
1,859.46398370994,379.01821151383837,0.0,dtlz3
2,775.3807738775638,300.455674163401,0.0,dtlz3
3,720.8125578332401,300.455674163401,0.0,dtlz3
4,644.9990400196361,270.51499413890156,0.0,dtlz3
5,565.3164758092742,177.07508510609892,0.0,dtlz3
6,561.1161431764314,177.07508510609892,0.0,dtlz3
7,531.7231657707387,177.07508510609892,0.0,dtlz3
8,538.9990893384847,177.07508510609892,0.0,dtlz3
9,510.94872011364123,177.07508510609892,0.0,dtlz3
10,512.0753860195446,153.942065167295,0.0,dtlz3
11,482.13412524988547,153.942065167295,0.0,dtlz3
12,445.9095517896798,153.942065167295,0.0,dtlz3
13,408.7341494764894,153.942065167295,0.0,dtlz3
14,396.0960121547094,136.53071965902046,0.0,dtlz3
15,410.47651458599563,136.53071965902046,0.0,dtlz3
16,426.48169930326765,136.53071965902046,0.0,dtlz3
17,399.52851780071666,136.53071965902046,0.0,dtlz3
18,420.96586615503367,136.53071965902046,0.0,dtlz3
19,385.60664612110855,94.99340122108755,0.0,dtlz3
20,379.8450976275009,94.99340122108755,0.0,dtlz3
21,391.8855406049456,94.99340122108755,0.0,dtlz3
22,380.2122379234734,94.99340122108755,0.0,dtlz3
23,387.8205060751488,94.99340122108755,0.0,dtlz3
24,363.0647637984358,94.99340122108755,0.0,dtlz3
25,352.6576959363975,94.99340122108755,0.0,dtlz3
26,351.77374784394704,94.99340122108755,0.0,dtlz3
27,325.5870521137839,94.99340122108755,0.0,dtlz3
28,302.56849931590705,88.94038197998788,0.0,dtlz3
29,298.89254749469785,88.94038197998788,0.0,dtlz3
30,277.31846620920504,88.94038197998788,0.0,dtlz3
31,265.42455493182285,76.80492637433449,0.0,dtlz3
32,281.3250022690118,76.80492637433449,0.0,dtlz3
33,281.3858590978261,76.80492637433449,0.0,dtlz3
34,274.00182134093336,76.80492637433449,0.0,dtlz3
35,255.70130975334186,76.80492637433449,0.0,dtlz3
36,268.10545910580674,64.35409379852962,0.0,dtlz3
37,258.0446391548965,64.35409379852962,0.0,dtlz3
38,231.48234535891154,64.35409379852962,0.0,dtlz3
39,229.8414382824646,64.35409379852962,0.0,dtlz3
40,244.3674117972504,64.35409379852962,0.0,dtlz3
41,244.3294753585437,64.35409379852962,0.0,dtlz3
42,232.78283658338734,64.35409379852962,0.0,dtlz3
43,242.37389776688585,64.35409379852962,0.0,dtlz3
44,243.20770214221665,57.86903682217995,0.0,dtlz3
45,238.32095848408156,57.86903682217995,0.0,dtlz3
46,233.37173495648187,57.86903682217995,0.0,dtlz3
47,240.50568185738177,57.86903682217995,0.0,dtlz3
48,232.03537222926013,57.86903682217995,0.0,dtlz3
49,246.8419868505562,57.86903682217995,0.0,dtlz3
50,222.34125701029944,57.86903682217995,0.0,dtlz3
51,228.0734454057695,57.86903682217995,0.0,dtlz3
52,208.70740892644102,50.30858925128087,0.0,dtlz3
53,204.50282823852874,50.30858925128087,0.0,dtlz3
54,216.05222082861107,46.52765322550214,0.0,dtlz3
55,204.44515306471212,46.52765322550214,0.0,dtlz3
56,215.91109356218212,46.52765322550214,0.0,dtlz3
57,202.00817535680943,46.52765322550214,0.0,dtlz3
58,195.61482708267766,46.52765322550214,0.0,dtlz3
59,183.62112459597628,46.52765322550214,0.0,dtlz3
60,182.61252665861775,46.52765322550214,0.0,dtlz3
61,161.5639958425498,46.52765322550214,0.0,dtlz3
62,176.98834796379967,46.52765322550214,0.0,dtlz3
63,166.75262963923174,46.52765322550214,0.0,dtlz3
64,160.6425474471066,46.52765322550214,0.0,dtlz3
65,180.95155269612317,42.774118104890384,0.0,dtlz3
66,170.36217315137534,42.774118104890384,0.0,dtlz3
67,170.09388385347734,39.47958798853664,0.0,dtlz3
68,177.1768630372521,39.47958798853664,0.0,dtlz3
69,158.12165573243877,39.47958798853664,0.0,dtlz3
70,159.49080998891876,39.47958798853664,0.0,dtlz3
71,159.49907973565442,38.29483539779907,0.0,dtlz3
72,157.75791967675755,38.29483539779907,0.0,dtlz3
73,167.4330413824459,38.29483539779907,0.0,dtlz3
74,159.92824886925862,35.88961908989184,0.0,dtlz3
75,148.72616470545682,35.88961908989184,0.0,dtlz3
76,148.23096050370913,35.88961908989184,0.0,dtlz3
77,157.02722115973495,35.88961908989184,0.0,dtlz3
78,146.5596842675862,35.88961908989184,0.0,dtlz3
79,133.15264037582884,35.88961908989184,0.0,dtlz3
80,135.44368159073872,35.88961908989184,0.0,dtlz3
81,133.35770869660917,35.88961908989184,0.0,dtlz3
82,133.93531105467792,35.88961908989184,0.0,dtlz3
83,142.01520916920205,35.88961908989184,0.0,dtlz3
84,141.97608757887673,35.88961908989184,0.0,dtlz3
85,129.50788780097125,35.88961908989184,0.0,dtlz3
86,110.20461693962523,35.88961908989184,0.0,dtlz3
87,113.86666814168315,34.384263555531724,0.0,dtlz3
88,119.9072079884641,32.866445081786125,0.0,dtlz3
89,119.0271929345162,32.866445081786125,0.0,dtlz3
90,119.3613768086545,32.866445081786125,0.0,dtlz3
91,124.91480779339236,32.866445081786125,0.0,dtlz3
92,130.53720277760235,32.866445081786125,0.0,dtlz3
93,122.77223255577528,32.804632003070196,0.0,dtlz3
94,123.70459719319902,32.804632003070196,0.0,dtlz3
95,125.9810475967449,32.804632003070196,0.0,dtlz3
96,114.40667058912877,28.92239700047096,0.0,dtlz3
97,110.36124184913648,28.92239700047096,0.0,dtlz3
98,110.3050615316221,28.922370825321185,0.0,dtlz3
99,110.23624118203084,28.922370825321185,0.0,dtlz3
100,110.69767024680137,28.87172278625653,0.0,dtlz3
