generation,GD,IGD,HV
1,318.3627827825033,155.49808637777247,0.0
2,291.0421295300484,86.80982746990584,0.0
3,295.2434337169293,86.80982746990584,0.0
4,292.39730846421213,86.80982746990584,0.0
5,275.0161364297486,86.80982746990584,0.0
6,267.9000563489871,74.55326482443184,0.0
7,250.59372823884803,74.09308759644294,0.0
8,231.3225799553545,58.8260715779553,0.0
9,225.33412880511008,58.8260715779553,0.0
10,226.69610001002332,58.8260715779553,0.0
11,224.4158839440539,53.46152333985975,0.0
12,223.70163143735112,43.88420551918996,0.0
13,228.29573873624236,40.509531498500436,0.0
14,204.25029900790187,40.509531498500436,0.0
15,192.6152019272222,40.509531498500436,0.0
16,174.991391190424,40.509531498500436,0.0
17,168.89437597305923,40.509531498500436,0.0
18,166.68307416591367,38.99977540774158,0.0
19,161.66514314802606,38.99977540774158,0.0
20,160.82983814955597,37.84996609716652,0.0
21,150.8830109747146,37.84996609716652,0.0
22,132.48377147959917,33.771145513672096,0.0
23,118.58613392837327,33.771145513672096,0.0
24,128.88425436616504,30.017971672763522,0.0
25,110.6816959641325,30.017971672763522,0.0
26,112.45549282546126,30.017971672763522,0.0
27,98.7309873272265,23.628872043407213,0.0
28,95.52384864258069,23.628872043407213,0.0
29,88.30229691476005,23.628872043407213,0.0
30,82.10651953128679,20.591694037478064,0.0
31,77.45790479897661,20.591694037478064,0.0
32,77.29657498981749,20.591694037478064,0.0
33,70.37299809618548,16.96500896863545,0.0
34,71.96178470498371,16.96500896863545,0.0
35,70.07634651557096,16.96500896863545,0.0
36,69.08364193839692,16.96500896863545,0.0
37,72.08333221682305,16.96500896863545,0.0
38,72.01094709008099,14.416073333884619,0.0
39,69.60691573752212,14.416073333884619,0.0
40,71.45353121467463,12.438051589852162,0.0
41,78.66599451510241,12.438051589852162,0.0
42,80.96894251693644,12.438051589852162,0.0
43,81.43407509438342,12.438051589852162,0.0
44,81.8222155510881,12.438051589852162,0.0
45,92.00532101297267,11.521792778666052,0.0
46,81.63636635365155,11.521792778666052,0.0
47,76.10899154295156,11.521792778666052,0.0
48,72.42476557866037,11.521792778666052,0.0
49,78.9576197487659,11.521792778666052,0.0
50,72.3399912779466,11.521792778666052,0.0
51,66.97187646472327,11.521792778666052,0.0
52,70.06813672080538,11.521792778666052,0.0
53,66.93353888748878,11.521792778666052,0.0
54,70.28336642287545,11.521792778666052,0.0
55,68.99112540289354,11.521792778666052,0.0
56,76.50303182735912,11.521792778666052,0.0
57,71.29053065244838,11.521792778666052,0.0
58,71.04915893526206,11.521792778666052,0.0
59,73.3502886963301,11.521792778666052,0.0
60,73.4286622589304,11.521792778666052,0.0
61,70.67500767446332,11.521792778666052,0.0
62,67.74556281855016,10.532622832410466,0.0
63,67.59279119506357,10.532622832410466,0.0
64,69.44723102574798,10.532622832410466,0.0
65,65.82309430998025,10.532622832410466,0.0
66,67.0873452666312,10.532622832410466,0.0
67,68.84291190582951,7.170820654553037,0.0
68,71.94684771723543,7.170820654553037,0.0
69,69.32406414042023,7.170820654553037,0.0
70,70.47969824370217,7.159478465738249,0.0
71,68.79392852772209,7.159478465738249,0.0
72,60.58821954418262,7.159478465738249,0.0
73,60.3294588447749,7.159478465738249,0.0
74,62.40947582850617,7.159478465738249,0.0
75,57.83462084215317,7.159478465738249,0.0
76,63.110821826491204,7.159478465738249,0.0
77,59.49639475827831,7.159478465738249,0.0
78,61.75216352916889,7.159478465738249,0.0
79,54.04726380801933,7.0137962249089885,0.0
80,57.70904284597262,7.0137962249089885,0.0
81,62.77319824424196,5.809544314837677,0.0
82,56.19407495822033,5.809544314837677,0.0
83,57.52543114269298,5.809544314837677,0.0
84,57.93813426311798,4.819520805007292,0.0
85,50.84548095297574,4.819520805007292,0.0
86,53.41985830028275,4.819520805007292,0.0
87,54.48815033092141,4.819520805007292,0.0
88,50.29368908214611,4.819520805007292,0.0
89,45.1529405392629,4.819520805007292,0.0
90,46.34304024796364,4.4670089683004575,0.0
91,47.483767726346635,4.4670089683004575,0.0
92,39.1198352490198,4.4670089683004575,0.0
93,41.225775425311404,4.4670089683004575,0.0
94,37.00600030590252,4.4670089683004575,0.0
95,35.536103647431794,4.4670089683004575,0.0
96,38.54834628457871,4.4670089683004575,0.0
97,36.930537661483214,4.4670089683004575,0.0
98,37.47141299638818,4.4670089683004575,0.0
99,36.72139353567975,4.4670089683004575,0.0
100,36.60458401936151,4.4670089683004575,0.0
